Province,Name,Amount
NORTHERN CAPE,DESTINED FOR GREATNESS,405400.0
NORTHERN CAPE,UNIQUE EMPOWERMENT PROJECT,495620.0
NORTHERN CAPE,TUMI LEEUW PRODUCTIONS,990000.0
GAUTENG,MZUMBE PERFORMING ARTISTS,239600.0
WESTERN CAPE,ZAMA DANCE SCHOOL TRUST,575763.0
GAUTENG,JOINT-HANDS SKILLS PROJECT,298000.0
KWAZULU-NATAL,UKUSA KWELANGA PROJECTS,268134.0
NORTHERN CAPE,ISIVIVANE ARTS ENSEMBLE,198000.0
GAUTENG,BRAAMFISCHER ENVIRONMENTAL PROJECTS,468000.0
GAUTENG,THE RECORDING INDUSTRY OF SOUTH AFRICA,4963000.0
GAUTENG,REATA DEVELOPMENT PROJECTS,263900.0
KWAZULU-NATAL,I GRAND TENORI,489428.0
MPUMALANGA,MASIBAMBISANENI - TSHWARANANG,1426888.0
GAUTENG,THE SWAZI AMANGCAMANE NATION OF THE REPUBLIC OF SOUTH AFRIC,220000.0
FREE STATE,DINALEDI PEOPLES DEVELOPMENT CLUB,204073.0
GAUTENG,PHAMBILI SIYAYA ARTS,1534000.0
NORTH WEST,BOTHAKGA  DIRANG NPC,461820.0
GAUTENG,BATSHEHETSI BA LENTSWE GOSPEL CHOIR,266000.0
GAUTENG,EKURHULENI MEN'S PIONEERS,331000.0
GAUTENG,KOKETSO DANCE PROJECT,249680.0
NORTH WEST,MEDIRO ART PROJECT,488000.0
GAUTENG,JONES FASHION SCHOOL,328000.0
WESTERN CAPE,UMOJA SKILLS DEVELOPMENT,464132.0
GAUTENG,INDUKU ENHLE ARTS EDUCATIONAL PROJECT,257798.0
WESTERN CAPE,SOUTH AFRICAN NATIONAL DANCE TRUST,925750.0
WESTERN CAPE,QOLOTHANI MAKHOSIKAZI SOCIAL AND CULTURAL SERVICE,617199.0
GAUTENG,ORCHARDS PROJECT NPC,480000.0
GAUTENG,SOWETO ART & CRAFT DEVELOPMENT,874662.0
GAUTENG,AGANANG,170000.0
KWAZULU-NATAL,VUSENHLE YOUTH ORGANISATION,267299.0
FREE STATE,OPENING ACT,330000.0
GAUTENG,MALATSI MEDIA INSTITUTE,798000.0
GAUTENG,SOUTH AFRICAN BOARD OF ENTREPRENEURSHIP,216000.0
KWAZULU-NATAL,JAZZ AT THE DRAKENSBERG,398000.0
NORTHERN CAPE,HA RE HOADO HERITAGE CENTRE (COME TOGETHER ALL),441000.0
GAUTENG,MZANSI MUSIC ENSEMBLE,242875.0
MPUMALANGA,SIDLANGALOLUDZALA DANCE GROUP,230740.0
GAUTENG,THE HEARTLINES CENTRE NPC,971000.0
GAUTENG,PINOS THABU CREATIVE EMPOWERMENT GROUP OF AFRICA,228000.0
KWAZULU-NATAL,KASIE AMAZING YOUNG ARTIST,188000.0
NORTH WEST,AGANANG GOSPEL MUSIC ASSOCIATION,198000.0
GAUTENG,LONDILOX NPC,1544400.0
FREE STATE,FREE STATE WOMBMAN IN THEATRE,500000.0
FREE STATE,LEKHOTLA LA BASOTHO,307550.0
EASTERN CAPE,TOLONGOZI TRADITIONAL DANCE GROUP,419000.0
GAUTENG,LUTHANDO ARTS ACADEMY,500000.0
LIMPOPO,GRANDIOSE FOOTPRINT NPC,2916600.0
GAUTENG,GREAT NORTH BUSINESS INCUBATOR,435350.0
FREE STATE,METSIMOHOLO REJUVENATION TRUST,454535.0
GAUTENG,VUKASIZWE COMMUNITY ORGANISATION,158023.0
LIMPOPO,EVERGREEN ARTS CENTRE,459864.0
GAUTENG,EYETHU COMMUNITY DEVELOPMENT PROJECTS,221360.0
KWAZULU-NATAL,SANGEET VIDYA INSTITUTE (SA),308000.0
GAUTENG,SAFIKA PRODUCTION,445800.0
FREE STATE,FREE STATE FOR COMMUNITY EMPOWERMENT AND DEVELOPMENT,383548.0
FREE STATE,VUKA DANCE PROJECT,1905000.0
NORTHERN CAPE,GREAT MINDS YOUTH EMPOWERMENT PRODUCTIONS,495000.0
EASTERN CAPE,TOP CULTURE EVENTS  NPC,4264868.0
WESTERN CAPE,THRIVE HOUT BAY,284750.0
EASTERN CAPE,HAPPY YOUTH ARTS,2155850.0
MPUMALANGA,MABHUMA BOYS AND TRADITIONAL NDEBELE MUSIC,233916.0
MPUMALANGA,OUR HANDS HONOR CREATIVITY ORGANISATION,450440.0
NORTHERN CAPE,GHAAP ONTWIKKELINGS KAMP,465000.0
NORTHERN CAPE,BIG BROTHERS UNITED,374500.0
GAUTENG,LEGAE ARTS AND COMMUNICATIONS,191340.0
MPUMALANGA,ONE STEP AT A TIME COMMUNITY DEVELOPMENT,2915000.0
KWAZULU-NATAL,MADLOKOVU YOUTH DEVELOPMENT FOUNDATION (MYDF) NPC,253000.0
KWAZULU-NATAL,NJE'S PROMO AND ENTERTAINMENT NPC,253793.0
FREE STATE,AFRIK MOTION DANCE THEATRE,341600.0
GAUTENG,KIDEOLOGY CHILDREN PERFORMING ART AND THEATRE DEVELOPMENT,177264.0
NORTH WEST,MAGEZA HERITAGE FOUNDATION NPC,8564119.0
KWAZULU-NATAL,BAT CENTRE TRUST,1363000.0
NORTH WEST,KHUMA CHORAL,366740.0
LIMPOPO,BRIGHT GENERATION CHOIR,255182.0
NORTH WEST,AMUKELANI THEATRE PRODUCTIONS,958441.0
EASTERN CAPE,ABANCEDISI ADULT CHOIR,450500.0
FREE STATE,BOABAB ENTERTAINMENT (NPC),421748.0
GAUTENG,LIGHT OF HOPE CHOIR,497850.0
WESTERN CAPE,THE CAPE LEOPARD TRUST,359000.0
WESTERN CAPE,PROBELL WOODWIND AND BRASS,367900.0
KWAZULU-NATAL,VUSANI ISIZWE MAWUNDLU YOUTH DEVELOPMENT,237800.0
GAUTENG,AFRICAN CULTURAL DEVELOPMENT FOUNDATION,6525500.0
GAUTENG,EERSTERUST FRESH VOCAL ARTS,253000.0
KWAZULU-NATAL,ZAKHELE TRAINING TRUST,388000.0
MPUMALANGA,BUSHBUCKRIDGE COMMUNITY RADIO,2348000.0
KWAZULU-NATAL,ZIKULISE COMMUNITY UPLIFTMENT PROJECT NPC,808000.0
KWAZULU-NATAL,BAMBANANI DISABLED PEOPLE'S ORGANISATION,494500.0
MPUMALANGA,MKHONDO COMMUNITY RADIO,1804188.0
LIMPOPO,"DUMAZI ARTS ,CULTURE ENVIRONMENT AND HERITAGE",158000.0
EASTERN CAPE,TEAM COMMUNITY DEVELOPMENT CENTRE,487440.0
WESTERN CAPE,BLESS THEM ALL YOUTH DEVELOPMENT,445400.0
NORTHERN CAPE,MASASA COMMUNICATORS,400475.0
MPUMALANGA,MASTER N,472500.0
GAUTENG,LE MBALI ARTS & CULTURE DVELOPMENT ORGANISATION,208000.0
GAUTENG,DINARE YOUTH DEVELOPMENT PROJECTS,245100.0
WESTERN CAPE,THE AMY BIEHL FOUNDATION TRUST,825751.0
FREE STATE,MALUTI ARTS THEATRE,218000.0
GAUTENG,ABRINA 2341 NPC,2264750.0
NORTHERN CAPE,RENEILWE TSHEGO NPC,407520.0
WESTERN CAPE,AMOYO PERFORMING ARTS FOUNDATION NPC,310450.0
GAUTENG,AFRICAN INSPIRED DREAM FOUNDATION,546000.0
NORTH WEST,MAHIKENG WRITING AND RESEARCH ACADEMY,453000.0
LIMPOPO,BETHESDA CHRISTIAN CATHEDRAL,409000.0
GAUTENG,ARTS REVIVAL SOUTH AFRICA ORGANISATION,227700.0
NORTHERN CAPE,TODAY'S DIARY REVEALS MOVEMENT,1470990.0
NORTH WEST,TE RADEBE THEATRE FOUNDATION NORTH WEST,273750.0
GAUTENG,ULWAZI COMMUNITY UPLIFTMENT ORGANISATION,394590.0
WESTERN CAPE,TOUWSRIVER BRASS BAND,397555.0
NORTH WEST,SIGNAL HILL ARTS PROJECTS,340402.0
FREE STATE,REFENTSE COMMUNITY DEVELOPMENT,222100.0
GAUTENG,REDIBONE COMMUNITY DEVELOPMENT PROJECTS,331800.0
GAUTENG,YOU CAN CENTRE,100800.0
LIMPOPO,THE P.E.A.C.E. FOUNDATION TRUST,361000.0
KWAZULU-NATAL,IMBEWU COMMUNITY DEVELOPMENT,428000.0
GAUTENG,THE JOHANNESBURG FESTIVAL ORCHESTRA (JFO),508000.0
LIMPOPO,VINDZUKANI COMMUNITY PROJECT,1585000.0
WESTERN CAPE,JUNGLE THEATRE COMPANY,647000.0
KWAZULU-NATAL,MARY GRAY THEATRE PROJECTS,365000.0
GAUTENG,DIKELETSO TRADITIONAL DANCE,131470.0
LIMPOPO,VHATANANI NPC,190000.0
NORTHERN CAPE,STEINKOPF CANE AND LEATHER PROJECT,484600.0
NORTHERN CAPE,MAPPEX DEVELOPMENT,410000.0
KWAZULU-NATAL,INSIKA YEZWE COMMUNITY DEVELOPMENT,242706.0
FREE STATE,LEGACY KIDDIES VILLAGE,488180.0
MPUMALANGA,SIYATENTELA ACTIVE BUDDIES,414000.0
GAUTENG,UTHINGO LWENKOSAZANE CREATIONS,227700.0
LIMPOPO,BANA BA KGWATE CULTURAL GROUP,126425.0
LIMPOPO,SEGATA YOUTH DEVELOPMENT,163000.0
LIMPOPO,LAMBANI YOUTH FOUNDATION NPC,1815000.0
EASTERN CAPE,UMZINGIZI SOCIAL DEVELOPMENT,216500.0
GAUTENG,STARS OF TOMORROW,126500.0
GAUTENG,PERCUSSION ART THEATRE,412975.0
EASTERN CAPE,VOICE OF TRIUMPH,4813016.0
GAUTENG,SAFRO,305192.0
LIMPOPO,TIMBILA POETRY PROJECT,368000.0
GAUTENG,G.T COMMUNITY ORGANISATION,132490.0
LIMPOPO,MATSAKA BRASS BAND,441500.0
NORTH WEST,AKANYANG SEWING SCHOOL,438000.0
WESTERN CAPE,APHRODITE BELLYDANCE STUDIO,356145.0
WESTERN CAPE,OVERBERG KOPERBLAASORKES ONTWIKKELINGSINISIATIEF,345874.0
GAUTENG,SNEAKERS YOUTH DEVELOPMENT NPC,207000.0
GAUTENG,SIBUSISO COSMOS ZWANE FOUNDATION,5540000.0
KWAZULU-NATAL,INDLU EMNYAMA THEATRE PRODUCTION,269750.0
KWAZULU-NATAL,LEGENDS AND LEGACIES ENTERTAINMENT NPC,266975.0
KWAZULU-NATAL,TANAKA PROJECTS,730000.0
KWAZULU-NATAL,KWAZULU NATAL UNITED MUSIC INDUSTRY ASSOCIATION,466333.0
WESTERN CAPE,WORCESTER COMMUNITY MARCHING BAND,162112.0
KWAZULU-NATAL,DURBAN BLACK DRIFTERS,302500.0
FREE STATE,BATHO PELE CHARITY TREE,419900.0
FREE STATE,MANGAUNG DRAMA AND DANCE GROUP,332500.0
EASTERN CAPE,NOKWINDLA HERITAGE FOUNDATION NPC,396000.0
FREE STATE,HOT RURAL WORKERS ASSOCIATION OF SA,420419.0
FREE STATE,RIEBEECKSTAD ARTS COUNCIL,487750.0
FREE STATE,REARABETSWE CHORAL SOCIETY,359912.0
WESTERN CAPE,KOUE BOKKEVELD OPLEIDINGSENTRUM,110090.0
NORTH WEST,ELIZABETH MODISE FOUNDATION,285000.0
WESTERN CAPE,THE CAPE TOWN CARNIVAL TRUST,888000.0
MPUMALANGA,ARTS IN MPUMALANGA,381300.0
LIMPOPO,LIMPOPO MERIT AWARDS,873000.0
EASTERN CAPE,IBUYAMBO CULTURAL ORGANIZATION,261616.0
LIMPOPO,TSHIAWELO NKHODENI CULTURAL GROUP,158000.0
LIMPOPO,RHENGU RO RINGANELA COMMUNITY PROJECT,1288000.0
LIMPOPO,MUSINA ARTS DEVELOPMENT,1647799.0
WESTERN CAPE,CLYDE SASS BRASS BAND TOUWS RIVER NPC,193000.0
NORTHERN CAPE,BATHO PELE DEVELOPMENT CENTER,1854000.0
KWAZULU-NATAL,NANSI IMPUMELELO ARTS AND CULTURE INITIATIVE,113000.0
WESTERN CAPE,KHANYISA YOUTH DEVELOPMENT,171000.0
LIMPOPO,MULTI TALENT AGENCY NPC,143520.0
LIMPOPO,TE RADEBE THEATRE FOUNDATION LIMPOPO,254787.0
KWAZULU-NATAL,SIYANAKEKELA,223091.0
MPUMALANGA,KHOMANANI VO MANANA,343250.0
LIMPOPO,PENTATONIC MUSIC LESSONS,189000.0
KWAZULU-NATAL,PORT SHEPSTONE TWINNING ASSOCIATION,250000.0
LIMPOPO,ENVIRO-CLEAN,272943.0
LIMPOPO,AGANANG COMMUNITY DEVELOPMENT,254000.0
LIMPOPO,THANDULULO COUNSELLING ORGANISATION,241000.0
KWAZULU-NATAL,MNOTHO WILL FOUNDATION NPC,636600.0
EASTERN CAPE,.ORGWEBRINGSTORIESTOLIFE,164545.0
WESTERN CAPE,RIVERSIDE ROSES SING KOOR,276955.0
KWAZULU-NATAL,BLUE MVELO,349000.0
GAUTENG,CULLINAN KASI DIAMOND CRAFTERS,183000.0
LIMPOPO,HISEKELANI COMMUNITY CLEANING PROJECT,238000.0
KWAZULU-NATAL,AFRICAN SINAKHO ARTS,338000.0
LIMPOPO,MASANA ARTS DEVELOPMENT FOUNDATION,278000.0
WESTERN CAPE,CONCERTS IN THE PARK NPC,231000.0
KWAZULU-NATAL,GREEN DIAMOND,442205.0
KWAZULU-NATAL,SINANI CLUB,289529.0
LIMPOPO,LIMPOPO YOUNG LEADERSHIP DEVELOPMENT FOUNDATION,358000.0
EASTERN CAPE,ARTS & PRINT MEDIA DEVELOPMENT CENTRE,423000.0
WESTERN CAPE,RURAL ARTS DEVELOPMENT FOUNDATION,246250.0
KWAZULU-NATAL,KWAMASHU COMMUNITY ARTS AND DANCE ACADEMY,497999.0
MPUMALANGA,ZETHU COMMUNITY PROJECTS NPC,233650.0
LIMPOPO,WAMMBUYELA COMMUNITY DEVELOPERS,128000.0
GAUTENG,ZANENDABA-THE INSTITUTE OF STORYTELLERS,388000.0
LIMPOPO,SIYANGOBA SERVICE  FOUNDATION CENTRE,248000.0
LIMPOPO,SEKHUKHUNE COMMUNITY TELEVISION INITIATIVE,462895.0
MPUMALANGA,KITSO ARTS & CULTURE,278000.0
EASTERN CAPE,ISIXHOSA NATIONAL LEXICOGRAPHY UNIT,646166.0
WESTERN CAPE,UPRISING ARTS PROJECT,171700.0
WESTERN CAPE,CHIPS N DALE FILM PRODUCTION,239440.0
MPUMALANGA,SAMUKELISIWE NON PROFIT ORGANISATION,312000.0
WESTERN CAPE,BOLAND ARTS & CULTURE CENTRE,282000.0
MPUMALANGA,GITJA CULTURAL SHOW AND COMMUNITY UPLIFTING PROJECTS,213200.0
MPUMALANGA,BAKGATLA UNITE,181000.0
EASTERN CAPE,BORDER RURAL COMMITTEE,639265.0
EASTERN CAPE,BUFFALO FLATS COMMUNITY CENTRE,269020.0
LIMPOPO,"MALAMULELE SPORTS, ARTS AND CULTURE",270000.0
MPUMALANGA,MPUMALANGA COMES ALIVE NPC,3653400.0
LIMPOPO,UNIQUE YOUTH DEVELOPMENT PROJECT,428000.0
MPUMALANGA,LIGUGU LENKOMAZI ACADEMY NPS,206750.0
LIMPOPO,PETER DAMBUZA FOUNDATION,204200.0
GAUTENG,THE MESSAGE,1575000.0
LIMPOPO,KASI SEEDS,3000000.0
LIMPOPO,FARGOBIX NPC,698000.0
GAUTENG,IZIMVO 447 NPC,1500000.0
EASTERN CAPE,SWEET AFRICAN INSPIRATION CULTURAL GROUP,314427.0
EASTERN CAPE,REAHASETJHABA COMMUNITY BASED ORGANISATION,1018000.0
EASTERN CAPE,ART CULTURE ALLIANCE FOUNDATION,233599.0
MPUMALANGA,MGOMA MPUMALANGA GOSPEL MUSIC AWARDS,545000.0
LIMPOPO,MATANGARI HOME OF RELIEF CENTRE,5000000.0
LIMPOPO,KOMPENE ENVIRONMENTAL AWARENESS INSTITUTION,356000.0
KWAZULU-NATAL,MALUSI WESIZWE NPC,1.3E7
EASTERN CAPE,SIMINGAYE COMMUNITY PROJECT,1.3E7
LIMPOPO,HANYANYANI COMMUNITY PROJECT,1.3E7
MPUMALANGA,REITEMOGILE YOUTH DEVELOPMENT GROUP,1.3E7
GAUTENG,ZIBSIBIX NPC,5000000.0
KWAZULU-NATAL,HERITAGE DEVELOPMENT TRUST,2500000.0
GAUTENG,BUYAMBO CULTURAL ORGANIZATION,2500000.0
WESTERN CAPE,SOUTH ATLANTIC ARTS AND CULTURE TRUST,2500000.0
LIMPOPO,MMAKGOSHI MMANARE FOUNDATION,308500.0
MPUMALANGA,NGOHO INTERGRATED DEVELOPMENT,3198000.0
NORTH WEST,A HI TI PFUXENI VANTSHWA PROJECT,3155000.0
WESTERN CAPE,THE CAPE TOWN MINSTREL CARNIVAL ASSOCIATION,348000.0
FREE STATE,NGANONO MUNTU FOUNDATION,1.6E7
NORTH WEST,THUSANANG COMMUNITY DEVELOPMENT NPO,1.273856E7
GAUTENG,KGOGI SPORTS FOUNDATION,2500000.0
NORTHERN CAPE,MAROPENG GO A BOELWA,331000.0
NORTHERN CAPE,MASIMO FOOD GARDEN,469395.0
NORTHERN CAPE,FIRST BORN FOUNDATION,103000.0
NORTHERN CAPE,SHAMDA COMMUNITY PROJECT,341000.0
NORTH WEST,BOKONE BOPHIRIMA CRAFT AND DESIGN,2507842.0
NORTH WEST,WORDSOWER COMMUNITY PROJECT,279000.0
NORTH WEST,OKUHLE GOSPEL CHOIR,159500.0
NORTHERN CAPE,THOLOANA EA BOPHELO,165160.0
FREE STATE,BEST ARTS DEVELOPMENT,361000.0
FREE STATE,LEJWE COMMUNITY ARTS,350250.0
NORTHERN CAPE,ERTERNAL GOSPEL HOIR,104750.0
NORTHERN CAPE,DIAMOND ARTS REVELATION,263000.0
FREE STATE,FRESH CONCERPTS,482100.0
NORTH WEST,STREET KID MEDIA FOUNDATIONS,278000.0
NORTHERN CAPE,NORTHERN CAPE YOUTH ARTS AND SPORTS,174500.0
NORTHERN CAPE,THAPELO TSHITE,289600.0
FREE STATE,TSOSA MOTJHA PROJECT,163379.0
NORTHERN CAPE,GOD MASTERPIECE FOUNDATION,282436.0
NORTHERN CAPE,PURPOSE DRIVEN COMMUNITY PROJECTS,323000.0
FREE STATE,ZONKE IZIZWE DISABLED FOUNDATION,289232.0
FREE STATE,MVULENI SOUL SESSION,80000.0
NORTHERN CAPE,THE PRIDE OF UBUNTU ARTS,388000.0
NORTHERN CAPE,KGOGAMASOGO,168000.0
FREE STATE,MAGWAZA MAPHALALA,464000.0
FREE STATE,THABANG,80000.0
FREE STATE,DIKWENA MULTIPURPOSE CENTRE,100769.0
